"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nsg2",2.3715015708167e-09,-8.2644482840249,0,0.947,7.36422382785709e-05
"Rbm5",1.01861673066972e-08,-7.13389412734665,0,0.895,0.000316311053374869
"Malat1",2.14307709586203e-08,-4.10681685033783,0.2,1,0.000665489730578036
"Ly6h",2.34679768527063e-08,-4.4260684901449,0.04,0.947,0.00072875108520709
"Son",2.72796193427668e-08,-4.16996435930825,0.04,0.947,0.000847114019450939
"Ogt",3.1689152215327e-08,-4.20341797780105,0.04,0.947,0.000984043243742549
"Ncam1",3.36486220767244e-08,-3.83299966738631,0.12,1,0.00104489066134852
"Rtn1",3.78759844029211e-08,-3.31624168739602,0.2,1,0.00117616294366391
"Dlgap4",4.11784552339879e-08,-6.5984483418275,0,0.842,0.00127871457038103
"Crmp1",1.37731448518164e-07,-2.97076099314911,0.12,1,0.00427697467083455
"Olfm1",1.57101747621277e-07,-6.64290659616602,0,0.789,0.00487848056888351
"Pabpn1",1.57101747621277e-07,-6.77806990030891,0,0.789,0.00487848056888351
"Cdk5r1",1.57101747621277e-07,-5.99368134790679,0,0.789,0.00487848056888351
"Mef2c",1.57101747621277e-07,-7.81484551745045,0,0.789,0.00487848056888351
"Mpped1",1.57101747621277e-07,-6.73787689278791,0,0.789,0.00487848056888351
"Rbfox2",1.61649762907057e-07,-3.90939643482636,0.04,0.895,0.00501971008755285
"Gria2",2.48282342904535e-07,-2.41768581181504,0.04,0.895,0.00770991159421452
"Epha5",2.48282342904535e-07,-2.3839500723443,0.04,0.895,0.00770991159421452
"Ubn2",2.48282342904535e-07,-1.19099860536399,0.04,0.895,0.00770991159421452
"Ctxn1",2.48282342904535e-07,-2.46674646413579,0.04,0.895,0.00770991159421452
"Nsg1",2.77603737608489e-07,-3.03254853646199,0.08,0.947,0.0086204288639564
"Tia1",3.11960762193741e-07,-2.41078667997984,0.12,1,0.00968731754840224
"Map4k4",3.65413961758997e-07,-3.40132318136751,0.08,0.895,0.0113471997545021
"Bcl11a",3.79043408775518e-07,-4.18526392385109,0.04,0.842,0.0117704349727062
"6330403K07Rik",4.183843249662e-07,-2.69153958987734,0.08,0.947,0.0129920884431754
"Gpm6a",4.36807058622303e-07,-3.85642139016527,0.04,0.842,0.0135641695913984
"Dbn1",4.79066014653956e-07,-2.64519459091083,0.08,0.947,0.0148764369530493
"Plppr3",5.03018010803178e-07,-4.0636272004968,0.04,0.842,0.0156202182894711
"Arglu1",5.03018010803178e-07,-3.84832801580612,0.04,0.842,0.0156202182894711
"Map2",5.51433666542726e-07,-3.66715209619438,0.08,0.895,0.0171236696471513
"Scn3a",5.67162294647695e-07,-6.18361142860831,0,0.737,0.0176120907356949
"Miat",5.67162294647695e-07,-7.21109977455494,0,0.737,0.0176120907356949
"Slc22a17",5.67162294647695e-07,-5.97674352495523,0,0.737,0.0176120907356949
"mt-Atp6",6.17768681612155e-07,-2.34824553428229,0.76,0.947,0.0191835708701022
"Mllt11",6.31662360620724e-07,-2.78321920934222,0.08,0.895,0.0196150112843553
"Pnn",6.65658133772664e-07,-3.54693565378541,0.04,0.842,0.0206706820280425
"Igfbpl1",8.38781844387656e-07,-2.98167482895448,0.16,0.947,0.0260466926137699
"Nrxn2",8.78400985535427e-07,-2.17298792891287,0.04,0.842,0.0272769858038316
"Thra",9.45645536860914e-07,-3.33500681492532,0.08,0.895,0.029365130856142
"Auts2",1.01798262251641e-06,-2.39424587633441,0.12,1,0.0316114143770019
"Stmn2",1.02116034742486e-06,-3.00319670900432,0.12,0.947,0.0317100922685841
"Bzw2",1.21285383293182e-06,-1.23010767534411,0.08,0.947,0.0376627500740319
"Csnk1e",1.23343143928164e-06,-2.47372902368226,0.08,0.895,0.0383017464840129
"Cep170",1.38895433517435e-06,-2.570986259183,0.08,0.842,0.043131198970169
"Stmn3",1.40726509505581e-06,-2.63690996351136,0.08,0.895,0.0436998029967682
"mt-Nd2",1.41085300952569e-06,-2.96892996097929,0.32,0.947,0.0438112185048014
"Scg5",1.94267179627872e-06,-6.45288103504331,0,0.684,0.0603257872898429
"Nsfl1c",1.94267179627872e-06,-6.0304558565975,0,0.684,0.0603257872898429
"Celf3",1.94267179627872e-06,-6.40135293329222,0,0.684,0.0603257872898429
"Nyap1",1.94267179627872e-06,-5.91700965781585,0,0.684,0.0603257872898429
"Tenm4",1.94267179627872e-06,-6.11385499257783,0,0.684,0.0603257872898429
"Kcnq1ot1",1.94267179627872e-06,-6.77170602723528,0,0.684,0.0603257872898429
"Prmt2",1.94267179627872e-06,-6.01093301238999,0,0.684,0.0603257872898429
"Atp2b1",1.94267179627872e-06,-6.39828080393057,0,0.684,0.0603257872898429
"Tspan3",1.94267179627872e-06,-5.99057512498278,0,0.684,0.0603257872898429
"Ip6k2",1.94267179627872e-06,-5.877451749536,0,0.684,0.0603257872898429
"Tmem132a",1.94267179627872e-06,-5.80424088084638,0,0.684,0.0603257872898429
"Npdc1",1.9645035761096e-06,-3.73950234174886,0.04,0.789,0.0610037295489315
"Fubp1",2.17797616726817e-06,-2.03441567986728,0.12,1,0.0676326939221784
"Pgrmc1",2.69376654019936e-06,-2.28524348485889,0.08,0.895,0.0836495323728107
