"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ucp2",0.000109148732561947,5.85624134709155,0.4,0,1,"0","Ucp2"
"Fth1",0.000372328463878064,1.8015678719193,0.88,0.844,1,"0","Fth1"
"Creg1",0.000686681738339766,3.89987054823448,0.32,0,1,"0","Creg1"
"Ube2l6",0.000686681738339766,6.32259672810927,0.32,0,1,"0","Ube2l6"
"Alas2",0.000686681738339766,8.17139100232069,0.32,0,1,"0","Alas2"
"Hbb-bt",0.000686681738339766,14.2949187777443,0.32,0,1,"0","Hbb-bt"
"Hbb-bs",0.000686681738339766,15.6871287178204,0.32,0,1,"0","Hbb-bs"
"Hba-a1",0.000686681738339766,13.6438015136059,0.32,0,1,"0","Hba-a1"
"Pnpo",0.000686681738339766,5.9009295394912,0.32,0,1,"0","Pnpo"
"Blvrb",0.00110307308163109,4.71896280006112,0.36,0.031,1,"0","Blvrb"
"Fech",0.00110307308163109,4.7705388854138,0.36,0.031,1,"0","Fech"
"Gypa",0.00166154478367069,5.08043714299147,0.28,0,1,"0","Gypa"
"Slc48a1",0.00182532942989156,2.70787339003452,0.36,0.031,1,"0","Slc48a1"
"Hba-a2",0.00257034611054272,11.5589973291582,0.32,0.031,1,"0","Hba-a2"
"Snu13",0.00312701764641599,0.225801053063714,0.08,0.5,1,"0","Snu13"
"Cdr2",0.00387383531445645,2.87841448924076,0.32,0.031,1,"0","Cdr2"
"Chchd10",0.004545615998138,2.39481424345888,0.32,0.031,1,"0","Chchd10"
"Pbx1",0.00478513656611497,0.308717812277126,0.16,0.625,1,"0","Pbx1"
"Ptp4a3",0.00490486485375565,2.92689597440211,0.36,0.062,1,"0","Ptp4a3"
"Nop10",0.00538762604257026,0.423783694666108,0.08,0.469,1,"0","Nop10"
"Fam46c",0.0068807634231318,3.86222543348544,0.28,0.031,1,"0","Fam46c"
"Snca",0.00734877743849196,4.67470695858131,0.32,0.062,1,"0","Snca"
"Bri3",0.00824102129613516,0.609359895594897,0.16,0.625,1,"0","Bri3"
"Uhrf2",0.00858674482620493,0.176953459537866,0.08,0.438,1,"0","Uhrf2"
